127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.018589
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000646
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000348
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001558
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001265
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000514
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000289
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000300
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000477
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000360
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000870
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000656
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000584
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-08-20 12:10:30, GET, /welcome/default/index, HTTP/1.1, 500, 0.068282
127.0.0.1, 2014-08-20 12:10:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2014-08-20 12:10:33, GET, /welcome/default/index, HTTP/1.1, 500, 0.010500
127.0.0.1, 2014-08-20 12:10:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000281
127.0.0.1, 2014-08-20 12:10:34, GET, /admin/default/ticket/welcome/127.0.0.1.2014-08-20.12-10-33.08b9df46-389e-4f24-a261-febfcb976ace, HTTP/1.1, 303, 0.100739
127.0.0.1, 2014-08-20 12:10:34, GET, /admin/default/index, HTTP/1.1, 200, 0.054867
127.0.0.1, 2014-08-20 12:10:34, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2014-08-20 12:10:34, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000402
127.0.0.1, 2014-08-20 12:10:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2014-08-20 12:10:38, POST, /admin/default/index, HTTP/1.1, 303, 0.053249
127.0.0.1, 2014-08-20 12:10:38, GET, /admin/default/ticket/welcome/127.0.0.1.2014-08-20.12-10-33.08b9df46-389e-4f24-a261-febfcb976ace, HTTP/1.1, 200, 0.220487
127.0.0.1, 2014-08-20 12:10:38, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000295
127.0.0.1, 2014-08-20 12:10:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2014-08-20 12:13:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.010450
127.0.0.1, 2014-08-20 12:13:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2014-08-20 12:13:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.015355
127.0.0.1, 2014-08-20 12:13:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2014-08-20 12:13:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.009132
127.0.0.1, 2014-08-20 12:13:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2014-08-20 12:13:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.013565
127.0.0.1, 2014-08-20 12:13:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2014-08-20 12:13:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.012064
127.0.0.1, 2014-08-20 12:13:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2014-08-20 12:14:09, GET, /welcome/default/user, HTTP/1.1, 303, 0.008805
127.0.0.1, 2014-08-20 12:14:09, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.022394
127.0.0.1, 2014-08-20 12:14:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000513
127.0.0.1, 2014-08-20 12:16:33, GET, /welcome/static, HTTP/1.1, 500, 0.012507
127.0.0.1, 2014-08-20 12:16:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2014-08-20 12:16:36, GET, /admin/default/ticket/unrecoverable, HTTP/1.1, 303, 0.030530
127.0.0.1, 2014-08-20 12:16:37, GET, /admin/default/site, HTTP/1.1, 200, 0.103126
127.0.0.1, 2014-08-20 12:16:37, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000431
127.0.0.1, 2014-08-20 12:16:37, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004166
127.0.0.1, 2014-08-20 12:16:38, POST, /admin/default/check_version, HTTP/1.1, 200, 1.303763
127.0.0.1, 2014-08-20 12:16:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000388
127.0.0.1, 2014-08-20 12:16:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000528
127.0.0.1, 2014-08-20 12:18:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000873
127.0.0.1, 2014-08-20 12:18:39, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.016712
127.0.0.1, 2014-08-20 12:18:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2014-08-20 12:18:41, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.013218
127.0.0.1, 2014-08-20 12:18:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000392
127.0.0.1, 2014-08-20 12:18:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000257
127.0.0.1, 2014-08-20 12:18:44, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.018583
127.0.0.1, 2014-08-20 12:18:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2014-08-20 12:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2014-08-20 12:19:00, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.011538
127.0.0.1, 2014-08-20 12:19:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000185
127.0.0.1, 2014-08-20 12:19:03, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.011441
127.0.0.1, 2014-08-20 12:19:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2014-08-20 12:19:05, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.010846
127.0.0.1, 2014-08-20 12:19:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2014-08-20 12:19:07, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.012040
127.0.0.1, 2014-08-20 12:19:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000170
127.0.0.1, 2014-08-20 12:19:08, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.011207
127.0.0.1, 2014-08-20 12:19:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2014-08-20 12:19:11, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.011886
127.0.0.1, 2014-08-20 12:19:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000188
127.0.0.1, 2014-08-20 12:19:19, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.014546
127.0.0.1, 2014-08-20 12:19:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000241
127.0.0.1, 2014-08-20 12:19:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2014-08-20 12:19:32, GET, /welcome/default/, HTTP/1.1, 200, 0.008697
127.0.0.1, 2014-08-20 12:19:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2014-08-20 12:20:10, GET, /welcome/default/, HTTP/1.1, 500, 0.032259
127.0.0.1, 2014-08-20 12:20:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2014-08-20 12:22:17, GET, /welcome/default/, HTTP/1.1, 200, 0.009704
127.0.0.1, 2014-08-20 12:22:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000279
127.0.0.1, 2014-08-20 12:22:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2014-08-20 12:22:21, GET, /welcome/default/, HTTP/1.1, 200, 0.011586
127.0.0.1, 2014-08-20 12:22:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2014-08-20 12:22:31, GET, /welcome/default/, HTTP/1.1, 200, 0.008914
127.0.0.1, 2014-08-20 12:22:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2014-08-20 12:22:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2014-08-20 12:22:33, GET, /welcome/default/, HTTP/1.1, 200, 0.011592
127.0.0.1, 2014-08-20 12:22:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2014-08-20 12:22:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2014-08-20 12:22:35, GET, /welcome/default/, HTTP/1.1, 200, 0.010672
